x,y,cw,cbh,ht,output,id
613.9,188.1,3.6,5.5,12.6,.TRUE.,TREE284
613.9,272.4,1.5,2.9,6,.TRUE.,TREE285
614,174.3,3.2,5,11.4,.TRUE.,TREE286
614,151,1.1,4.1,13.1,.TRUE.,TREE287
614,113.6,4.2,6.1,14.4,.TRUE.,TREE288
614,215.3,5.2,5.4,17.8,.TRUE.,TREE289
614.1,168.7,2.3,3.9,8.5,.TRUE.,TREE290
614.1,254.1,6.9,7,15.5,.TRUE.,TREE291
614.2,165.9,1.9,3.4,7.3,.TRUE.,TREE292
614.2,296.7,2.4,4,8.9,.TRUE.,TREE293
614.2,269.1,3.5,6,15.1,.TRUE.,TREE294
614.3,181.2,3.6,5.5,12.6,.TRUE.,TREE295
614.3,143,1.3,2.9,7.4,.TRUE.,TREE296
614.3,175.4,1.1,2.5,6.4,.TRUE.,TREE297
614.4,262.3,2,3.5,7.7,.TRUE.,TREE298
614.5,120.2,4.4,6.4,15.1,.TRUE.,TREE299
614.7,137.8,3,4.7,10.6,.TRUE.,TREE300
614.7,128.1,4.2,6.1,14.4,.TRUE.,TREE301
614.8,147,1.8,3.2,6.9,.TRUE.,TREE302
614.8,132.2,4.9,7,16.6,.TRUE.,TREE303
614.9,160.6,5,10.7,16.3,.TRUE.,TREE304
614.9,282.2,2.6,4.2,9.3,.TRUE.,TREE305
615,103.2,5.9,8.3,19.8,.TRUE.,TREE306
615,176.2,1.8,4.8,14.1,.TRUE.,TREE307
615.1,237.2,4.5,6.5,12.9,.TRUE.,TREE308
615.1,284.8,2.2,3.7,8.1,.TRUE.,TREE309
615.2,154.2,4,6,13.9,.TRUE.,TREE310
615.2,228.9,2,3.5,7.5,.TRUE.,TREE311
615.2,255.7,5,4.8,15.7,.TRUE.,TREE312
615.2,287.7,2.1,1.9,7.9,.TRUE.,TREE313
615.2,248.2,2.6,4.2,9.7,.TRUE.,TREE314
615.2,221.1,3.8,5.6,13.1,.TRUE.,TREE315
615.3,154.3,5.5,7.7,18.4,.TRUE.,TREE316
615.3,131.6,4.8,3.4,16.1,.TRUE.,TREE317
615.3,166.1,5.1,7.2,17.2,.TRUE.,TREE318
615.4,154.6,1.7,1.4,6.4,.TRUE.,TREE319
615.4,166.8,2.6,4.2,9.3,.TRUE.,TREE320
615.5,132.3,3.4,5.1,11.8,.TRUE.,TREE321
615.5,286.2,3.8,5.7,13.1,.TRUE.,TREE322
615.6,166.9,2,3.5,7.5,.TRUE.,TREE323
615.7,157.1,2.1,1.9,7.7,.TRUE.,TREE324
615.7,166.8,2.2,3.8,8.3,.TRUE.,TREE325
615.7,280.4,2,3.5,7.7,.TRUE.,TREE326
615.8,119.6,4.1,6,14,.TRUE.,TREE327
615.8,206.2,4.5,7,17.4,.TRUE.,TREE328
615.9,149.3,0.9,2.4,4.9,.TRUE.,TREE329
615.9,265.4,1.5,2.9,6,.TRUE.,TREE330
615.9,173.3,1.3,2.6,5.3,.TRUE.,TREE331
616,177.7,2.8,4.5,10.2,.TRUE.,TREE332
616,174.8,2.5,8.1,11.4,.TRUE.,TREE333
616.1,271.6,1.6,3.1,6.4,.TRUE.,TREE334
616.1,171,1.4,2.7,5.6,.TRUE.,TREE335
616.2,170.8,2.4,4,8.9,.TRUE.,TREE336
616.2,281.8,2.8,4.5,10.2,.TRUE.,TREE337
616.2,104.4,2.6,4.2,9.5,.TRUE.,TREE338
616.3,241.1,3.6,5.5,12.6,.TRUE.,TREE339
616.4,170.2,2.8,4.5,10.2,.TRUE.,TREE340
616.5,149,0.8,0.9,2.5,.TRUE.,TREE341
616.5,142.5,3.1,4.8,10.9,.TRUE.,TREE342
616.5,285.9,2.8,4.4,10,.TRUE.,TREE343
616.5,156.8,1.2,0.8,4.9,.TRUE.,TREE344
616.5,285.9,3.5,5.4,12.4,.TRUE.,TREE345
616.6,128.4,5.9,8.3,19.8,.TRUE.,TREE346
616.7,186,3.5,5.3,12.2,.TRUE.,TREE347
616.8,138.9,4,5.9,13.8,.TRUE.,TREE348
616.8,272.6,1.8,3.2,6.9,.TRUE.,TREE349
616.8,268.9,2.8,4.5,10.2,.TRUE.,TREE350
616.8,177.5,2.8,9.4,13.4,.TRUE.,TREE351
616.9,133.7,2,9.8,16.6,.TRUE.,TREE352
616.9,154.1,3.5,5.3,12.2,.TRUE.,TREE353
616.9,208.6,3.5,8.1,17.8,.TRUE.,TREE354
617,240.9,2.8,4.5,10.2,.TRUE.,TREE355
617,141.4,4.4,6.4,15.1,.TRUE.,TREE356
617.1,268,3.4,5.1,11.8,.TRUE.,TREE357
617.1,211.4,1.1,0.7,4.6,.TRUE.,TREE358
617.2,247.3,3.8,5.7,14.8,.TRUE.,TREE359
617.2,175.3,1.1,7.7,15,.TRUE.,TREE360
617.2,246.9,2.6,4.3,5.2,.TRUE.,TREE361
617.2,175,2.3,3.9,8.5,.TRUE.,TREE362
617.2,179.4,3.2,5,11.4,.TRUE.,TREE363
617.3,167.6,1.7,1.4,6.6,.TRUE.,TREE364
617.3,293,2.4,3.9,8.7,.TRUE.,TREE365
617.4,288,1.5,2.9,6,.TRUE.,TREE366
617.4,261.5,5.3,4.8,13.1,.TRUE.,TREE367
617.5,261.2,2,3.5,7.7,.TRUE.,TREE368
617.5,105,2.2,3.7,8.1,.TRUE.,TREE369
617.7,174.3,2.3,3.9,8.6,.TRUE.,TREE370
617.8,139.1,3.9,5.8,13.6,.TRUE.,TREE371
617.8,185.4,3.9,5.8,13.5,.TRUE.,TREE372
617.8,231.3,4.6,6.7,15.7,.TRUE.,TREE373
617.9,173.2,1.9,4.8,10.1,.TRUE.,TREE374
618,144.1,3.2,5,11.3,.TRUE.,TREE375
618,145.6,4.8,7,16.4,.TRUE.,TREE376
618,290.9,3.4,5.1,11.8,.TRUE.,TREE377
618.2,159.8,5.7,9.3,17.3,.TRUE.,TREE378
618.2,218,3.5,7.3,15.4,.TRUE.,TREE379
618.3,262.9,1.6,2.2,3.9,.TRUE.,TREE380
618.5,172.6,5.2,7.7,17.6,.TRUE.,TREE381
618.6,275.9,2.4,4,8.9,.TRUE.,TREE382
618.6,276.3,4.6,3,17.8,.TRUE.,TREE383
618.7,288.9,5.2,8.7,17,.TRUE.,TREE384
618.7,283.2,3,4.7,10.7,.TRUE.,TREE385
618.7,233.4,3.8,3.9,13,.TRUE.,TREE386
618.8,155.6,5.3,5.9,17.9,.TRUE.,TREE387
618.9,274.1,2.4,2.3,6.4,.TRUE.,TREE388
619.1,221.8,3,4.7,10.6,.TRUE.,TREE389
619.2,216,4.2,4.5,14.5,.TRUE.,TREE390
619.2,278.9,3.3,7.5,15.6,.TRUE.,TREE391
619.3,109.4,3.4,5.2,12.1,.TRUE.,TREE392
619.3,109.4,3.3,5.1,11.6,.TRUE.,TREE393
619.3,183.6,2,3.5,7.7,.TRUE.,TREE394
619.3,229.2,3.5,5.3,12.2,.TRUE.,TREE395
619.3,143.8,2.1,3.6,7.9,.TRUE.,TREE396
619.4,141.4,4.6,6.6,15.6,.TRUE.,TREE397
619.5,102.9,6.5,9,21.7,.TRUE.,TREE398
619.5,149.9,2.7,4.3,9.8,.TRUE.,TREE399
619.6,210.4,4.2,8.8,15.2,.TRUE.,TREE400
619.9,240.4,3.8,3.9,13,.TRUE.,TREE401
620,130.9,4.4,6.5,15.2,.TRUE.,TREE402
